"marker","chr","pos","lod"
"2_7651035","2",62.32653,18.5458882819421
"2_7919124","2",62.877031,19.2998853467809
"2_7999319","2",62.926532,19.874289470182
"2_8110161","2",63.326533,20.5194570729561
"2_8206685","2",63.376534,20.615889641806
"2_8319548","2",63.426535,20.3769846338487
"2_8433331","2",63.675536,20.6189569050262
"2_8579012","2",63.825037,20.4137420406892
"2_8487996","2",64.025038,20.5441982706659
"2_8709614","2",64.777539,21.4580255421004
"2_9074768","2",64.92704,21.3314769934705
"2_9127853","2",65.226541,21.9299065917423
"2_11004272","2",65.777042,22.0085688193381
"2_10312496","2",67.846543,21.9156254708494
"2_13969416","2",68.298544,22.6632624782776
"c2.loc70","2",70,23.2910247934169
"2_14873799","2",70.942045,23.3560457747299
"2_16603629","2",71.141546,22.7617832276064
"2_16741500","2",71.291547,22.9671304610115
"2_17012389","2",71.391048,22.9923654694621
"2_17246760","2",71.441049,22.9923629399739
"2_17478449","2",71.54055,23.2842764418283
"2_17347640","2",71.590551,23.5289090939614
"2_17720094","2",71.840552,22.8094170841314
"2_17785364","2",71.890053,23.0753896786055
"2_17916691","2",72.090054,22.4566950499095
"2_18194652","2",72.140055,22.4036951736248
"2_18448449","2",72.239556,22.3519641902042
"c2.loc80","2",80,13.5896181341957
"2_13029837","2",80.821057,12.1276970592182
"3_342741","3",0,0.481658296764635
"3_609816","3",2.565001,0.464960742068115
"3_2314233","3",2.815002,0.382441597782645
"3_4920649","3",2.815003,0.382440862337489
"3_2901369","3",5.160504,0.332502131655019
"3_3251513","3",9.904005,0.287179274061145
"c3.loc10","3",10,0.275493530303947
"3_3488939","3",10.104006,0.27437640061612
"3_3905978","3",10.657007,0.308054392298345
"3_4315306","3",10.957008,0.328699594932459
"3_4565569","3",15.057009,0.322825899533882
"3_4822693","3",17.35551,0.280864480603896
"3_4988294","3",17.959511,0.36873481129328
"3_5155501","3",18.159512,0.440938767405214
"3_5232850","3",18.662013,0.355217663993471
"c3.loc20","3",20,0.336800955153194
"3_5583374","3",22.343014,0.332674961350904
"3_5507072","3",22.593015,0.332674984691721
"3_5797319","3",26.045016,0.321155216679699
"3_5885034","3",26.396017,0.271492677565902
"3_6000617","3",26.545518,0.283630632352242
"3_6426810","3",27.958019,0.299612034315942
"3_6848850","3",28.25802,0.339960713507026
"3_6650857","3",28.859021,0.400004665465531
"c3.loc30","3",30,0.545284018076018
"3_7155917","3",30.274522,0.590846577422553
"3_7220808","3",30.474023,0.497065206807974
"3_7472345","3",32.060024,0.429067564220077
"3_8428406","3",32.160025,0.149445212588716
"3_8256808","3",32.160026,0.149445225783666
"3_9162339","3",33.221527,0.132777079267044
"3_9224651","3",34.488528,0.174238306545931
"3_9374964","3",34.638029,0.271648033792644
"3_11252155","3",35.39003,0.176532025385541
"3_10121298","3",35.841031,0.215749786170136
"3_14850509","3",36.240532,0.0736920364422531
"3_14442063","3",38.153033,0.0745405812413082
"3_13319654","3",39.744534,0.0997842239974034
"c3.loc40","3",40,0.0951313379596286
"3_15938806","3",40.553535,0.0863646601410437
"3_17950996","3",41.311536,0.307200395382779
"3_19365074","3",42.275037,0.319470186230774
"3_19297395","3",44.294538,0.319484377071603
"c3.loc50","3",50,0.320275194651231
"c3.loc60","3",60,0.321541969643704
"3_19690734","3",60.039539,0.321545909815995
"3_19133207","3",60.18904,0.626442751983632
"4_700172","4",0,1.38574715979144
"4_130509","4",0.300501,1.4751639649387
"4_1028787","4",2.137002,0.810000109955354
"4_1187713","4",3.244503,0.84810665228747
"4_1307469","4",3.594004,0.649430759194956
"4_1391400","4",4.195005,0.847531686137472
"4_1715906","4",6.021506,0.906634256152302
"4_1855396","4",6.421007,0.901650278274701
"4_2096842","4",7.224508,0.923167157527132
"4_2563214","4",8.231009,0.484479241895997
"c4.loc10","4",10,0.669299372116029
"4_2919507","4",11.25651,0.757745220525294
"4_3237352","4",16.642511,1.14638409442523
"4_3597502","4",17.813512,1.33298260904553
"4_3661349","4",17.963513,1.38646260513269
"4_3801978","4",18.063014,1.38555170550103
"4_3893714","4",19.381515,1.68130286825385
"c4.loc20","4",20,1.69189489902305
"4_4437478","4",22.335516,1.44795035118204
"4_4596235","4",23.648017,1.1989903266724
"4_4759072","4",24.148018,1.16385091728625
"4_4948818","4",25.102519,1.64235037959497
"4_5125331","4",26.16252,1.54853234820371
"4_5338718","4",26.614521,1.78460959643371
"4_5638153","4",27.925022,1.73004420017946
"4_6277410","4",29.808023,1.59814686503114
"c4.loc30","4",30,1.58277506811237
"4_6583166","4",30.814524,1.43673421893527
"4_6678764","4",31.367025,1.60228733953295
"4_6752086","4",32.169026,1.57163166188684
"4_6834788","4",32.368527,1.65546265132184
"4_7003711","4",32.919028,1.75546570103893
"4_7185718","4",33.169029,1.79452716242054
"4_7614182","4",34.07253,1.6188394625749
"4_7771974","4",34.472531,1.66038009266458
"4_8778482","4",34.872032,1.62531152462066
"4_8965154","4",35.271533,1.56888149404995
"4_9107108","4",35.471034,1.58306928929142
"4_9358331","4",35.521035,1.52667590494661
"4_9417403","4",35.870536,1.45191117048989
"4_9541495","4",35.920537,1.41747700099677
"4_9602051","4",36.020038,1.42475392606775
"4_9681702","4",36.069539,1.48128630206838
"4_9800666","4",36.11954,1.61570476746988
"4_10789218","4",36.975541,1.75709067270327
"4_11031511","4",37.778042,1.77920224872514
"4_11238026","4",37.928043,1.75708503009696
"4_11802988","4",38.378544,1.50518695090432
"c4.loc40","4",40,1.41851276342231
"4_14162870","4",40.206545,1.39445045960952
"4_14745243","4",41.317046,1.13374248080095
"4_14809627","4",41.917547,0.948234182116494
"4_14964966","4",42.167048,0.975933353779965
"4_16315879","4",42.969549,0.94714018828904
"4_16491374","4",43.16905,0.981472214382848
"4_17799573","4",45.673051,2.04117206079763
"4_17980355","4",46.830552,2.13426742661522
"4_18311071","4",47.938053,1.95639770345338
"c4.loc50","4",50,2.48349377157842
"4_19017335","4",50.490054,2.61104516413343
"4_19762446","4",52.056055,2.23924711268364
"4_19892780","4",52.407056,2.57022484915342
"4_20004123","4",53.058057,2.43020693578251
"4_20436338","4",53.860558,2.16851250639661
"4_20739437","4",54.461559,2.15462612638862
"4_20837957","4",55.16306,1.94192984260917
"4_21238665","4",57.290561,1.90723546536424
"c4.loc60","4",60,2.09798509866255
"4_21070680","4",61.901062,2.31131385665435
"4_22127549","4",63.974563,1.58911399781346
"4_22215506","4",64.274564,1.7180157994344
"4_22331368","4",64.676065,1.61682827324034
"4_22548287","4",64.775566,1.55910925836929
"4_22272053","4",64.925567,1.56840549616868
"4_22791294","4",65.683568,1.75038854161585
"4_23092663","4",68.517069,1.52388411890729
"4_23360446","4",69.01957,1.56634110491473
"4_23421280","4",69.219571,1.49438652037747
"c4.loc70","4",70,1.64502119166445
"4_23599054","4",71.489072,1.81748107218209
"4_23999526","4",73.469073,0.955681543158335
"4_24312358","4",73.819574,0.628651660926607
"4_24558421","4",74.269575,0.676351497662154
"5_523818","5",0,0.192138128676788
"5_4088551","5",0.502501,0.23810350242502
"5_196931","5",7.719502,1.31164983034114
"5_288102","5",7.769003,1.31353364549864
"5_601862","5",8.069504,1.30413793305297
"5_727574","5",8.269505,1.2205902706778
"5_782424","5",8.369006,1.22967882267358
"5_1120092","5",8.973507,1.51153862461297
"5_1251758","5",9.423508,1.20845714746451
"5_1449735","5",9.875509,1.14983165989543
"5_1508886","5",9.92501,1.25592352095282
"c5.loc10","5",10,1.28313956603029
"5_1652473","5",10.728511,1.5284087885459
"5_2429823","5",10.828012,1.54295256406522
"5_2193315","5",10.927513,1.5366146967292
"5_2540724","5",11.077014,1.63122315081523
"5_2346684","5",11.327015,1.64117377150615
"5_2671340","5",11.779016,1.72836807120484
"5_2816543","5",12.381017,1.690875653783
"5_2970834","5",12.631018,1.77402641166555
"5_3455965","5",14.411019,1.76886207386656
"5_3398262","5",14.56102,1.74559081884331
"5_3554745","5",15.515021,1.36684871000921
"5_3677473","5",15.664522,1.27591892619989
"5_3817250","5",16.114523,1.00475296453101
"5_3885586","5",16.719024,1.53580018931575
"5_3959240","5",17.420525,1.53196414556487
"c5.loc20","5",20,1.1076042720756
"5_4356188","5",20.502526,1.04880260111577
"5_4453596","5",21.106527,0.999022363075028
"5_4915706","5",24.632028,0.748299548466321
"5_5336805","5",25.492529,0.51404048867721
"5_5451693","5",26.19353,0.679712645369591
"5_5541402","5",27.252531,0.786133956941967
"5_5623008","5",27.402532,0.722269471758409
"5_5692636","5",28.981033,0.3667512675745
"5_5764723","5",29.483534,0.349051251092988
"c5.loc30","5",30,0.367701481811764
"5_5884957","5",30.292535,0.376132802320626
"5_6247366","5",31.858536,0.497377791048393
"5_6472536","5",32.361537,0.495996144371702
"5_6351187","5",32.461538,0.459953086798123
"5_6577650","5",33.469539,0.517713679640337
"5_6783807","5",36.58004,0.359058822337829
"5_6864486","5",36.729541,0.289939687371998
"5_7260172","5",37.487542,0.313054777435582
"5_7410044","5",37.787543,0.3028866360969
"c5.loc40","5",40,0.316393186092455
"5_7530014","5",44.370544,0.519402071474588
"5_7605115","5",44.670545,0.58511798123277
"5_7882802","5",44.970046,0.476873168120846
"5_7984167","5",45.220047,0.520281538776089
"5_8075869","5",45.369548,0.559084330921451
"5_8392088","5",45.821549,0.536098744205447
"5_9475202","5",46.67555,0.716917035540064
"5_15156341","5",48.857551,0.648408074396457
"c5.loc50","5",50,0.599024604626493
"5_8669505","5",54.805052,0.665712789681038
"5_8545800","5",54.854553,0.645006692133393
"5_9107670","5",55.355554,0.610305152668161
"5_9249185","5",55.554555,0.743331468957876
"5_9418134","5",55.904556,0.738776672955282
"5_9330484","5",55.954057,0.738395932283993
"5_9760548","5",56.504558,0.737496610318658
"5_9961427","5",57.209059,0.888569375227007
"5_10381269","5",57.35806,0.92592144388459
"5_10303059","5",57.408061,0.910888787553858
"5_10489999","5",57.507562,0.910888565290406
"5_10680744","5",57.657063,0.939408308516022
"5_10597598","5",57.657064,0.939408308503289
"5_10737322","5",57.807065,0.870102073445423
"5_11411896","5",58.106566,1.02234515182158
"5_11488698","5",58.206567,1.01394447560938
"5_12436793","5",59.826568,0.663006497527476
"c5.loc60","5",60,0.624105922868011
"5_12317731","5",60.226569,0.578140147287286
"5_13959256","5",60.32607,0.624568917065517
"5_12177632","5",60.375571,0.650173860631412
"5_12684206","5",60.425572,0.589847530570523
"5_14113858","5",60.775573,0.692427503362296
"5_14184102","5",60.975074,0.753070853347026
"5_15439188","5",62.442575,0.799262647702335
"5_15494607","5",63.298576,0.722618171895419
"5_15849900","5",63.599077,0.787689471326757
"5_16092596","5",63.849078,0.776962034769667
"5_16270621","5",63.898579,0.775687206185694
"5_16184048","5",63.89858,0.77568720618774
"5_17567199","5",64.298581,0.816983836972668
"5_17847538","5",64.698082,0.8685612099639
"5_18637567","5",65.248083,0.768819308029151
"5_18897041","5",66.152584,0.8932855764333
"5_19422363","5",66.252585,0.873583084330221
"5_20164865","5",68.025086,1.21235190452035
"5_20239419","5",68.225087,1.15961637131795
"5_20429993","5",69.077588,1.40088856750458
"c5.loc70","5",70,1.21770491069947
"5_21389712","5",70.799589,1.06602678765853
"5_22368206","5",71.80459,1.31699759203229
"5_22424142","5",72.004091,1.2404047193188
"5_22623177","5",72.404092,1.13277751474061
"5_22732244","5",72.503593,1.02261704688362
"5_22839984","5",72.653094,1.02833810422976
"5_23266738","5",73.205095,0.944891063043997
"5_23626031","5",73.656096,0.987790880780722
"5_23885642","5",74.259097,0.931798914309866
"5_24028531","5",75.682598,1.07800748580667
"5_24109446","5",75.782099,0.989076082558086
"5_24329039","5",76.1826,1.05814677287731
"5_24516717","5",76.531601,1.23972678734253
"5_24901597","5",76.681102,1.38490678309154
"5_25379843","5",76.731103,1.3312491349127
"5_22549876","5",79.130104,1.11052127363155
"c5.loc80","5",80,0.99382516785613
"5_23735988","5",82.484105,0.583322887725217
"c5.loc90","5",90,0.384557938849184
"5_17484208","5",90.035106,0.387527021109008
"5_23821379","5",91.258607,0.720226945316654
"5_21192283","5",95.981108,0.346685266236818
"5_20648848","5",97.520109,0.381022259422252
"6_3096555","6",0,2.24764772643675
"6_2871894","6",0.854501,1.77348849953
"6_670815","6",1.155002,2.06361504191887
"6_281879","6",4.277503,1.36975499478831
"c6.loc10","6",10,1.36817101495762
"c6.loc20","6",20,1.3738890485381
"c6.loc30","6",30,1.38890071948026
"6_506716","6",32.854004,1.3938817142282
"6_816414","6",33.154505,1.37700983708419
"6_2092951","6",33.654506,1.7887237125974
"6_2027729","6",34.412507,1.78162607603304
"6_2312292","6",35.417508,1.94757879408121
"6_2674740","6",36.483009,1.83401959946991
"6_2754921","6",36.53251,1.90458688911235
"6_3261399","6",37.860511,1.88676540123492
"6_3712077","6",39.773012,1.38894412826744
"c6.loc40","6",40,1.38967416913852
"6_3629748","6",40.529013,1.39141766092098
"6_4193190","6",44.565514,1.40467117900585
"6_4282333","6",47.914015,1.40914473440171
"6_4664668","6",49.844016,0.293158413638594
"c6.loc50","6",50,0.28061285718195
"6_4995975","6",52.031517,0.187315033414279
"6_4773860","6",54.477018,0.187314675471725
"6_5316318","6",55.183019,0.204185421752982
"6_5491770","6",55.83652,0.180203105826649
"6_5661220","6",55.886021,0.216436713219991
"6_5752203","6",55.936022,0.196777898836217
"6_5843756","6",56.286023,0.156609056216666
"6_5958577","6",57.666524,0.262734466711663
"c6.loc60","6",60,0.281950396356706
"6_6016850","6",60.538525,0.287604373660542
"6_6373188","6",61.502026,0.161036340310602
"6_6873743","6",61.954027,0.135722739105631
"6_6961754","6",64.358528,0.239544361403205
"6_7690367","6",65.425529,0.205035674508736
"6_7855019","6",67.77503,0.207670358188352
"6_9016289","6",68.894531,0.401808065248815
"c6.loc70","6",70,0.359256862827806
"6_11635685","6",71.191032,0.297715604102905
"6_13115981","6",77.724033,0.265340226501849
"6_13689046","6",78.074534,0.456920488650212
"6_13622915","6",78.883535,0.598742376308792
"6_14552019","6",79.383536,0.422844499680423
"c6.loc80","6",80,0.420819031084875
"6_14606037","6",80.137037,0.423372720317502
"6_14835830","6",80.787538,0.560479420903448
"6_16196711","6",80.887539,0.783030123643584
"6_15470523","6",81.38754,0.983078432102047
"6_15775550","6",81.688041,1.00089532516836
"6_15850251","6",81.988042,1.00093077686529
"6_15915895","6",82.539043,1.11591115018791
"6_16140020","6",82.839544,1.34801972087939
"6_17681109","6",83.844545,1.44238266034881
"6_17449050","6",83.844546,1.4423834669094
"6_17921641","6",85.163047,1.08992210116367
"6_18520823","6",89.416048,0.894668042801641
"6_19937319","6",89.566049,1.13880937447925
"c6.loc90","6",90,1.72278115040422
"6_20062276","6",90.27255,2.02950058677402
"6_20000657","6",90.371551,1.70738379360591
"6_20569421","6",92.092552,1.69549618530414
"6_20373568","6",93.316053,1.86591804472073
"6_20646740","6",93.466054,1.77029735319547
"6_20765164","6",94.217555,1.77408924050906
"6_21330468","6",94.617056,1.93411019067435
"6_22000727","6",94.667057,1.53777263736606
"6_22260083","6",95.724058,1.59415077853691
"6_22153848","6",95.923559,1.46604289442416
"6_15137467","6",96.68156,1.48671317888829
"6_19860838","6",97.697061,1.77813289884011
"c6.loc100","6",100,1.78636868836543
"6_20305922","6",101.844562,1.76710090236134
"6_22086937","6",105.776063,0.91568482709522
"7_5199288","7",0,0.00479257324263926
"7_228986","7",6.438001,0.0255229252093159
"7_629398","7",6.638002,0.0218321657705474
"7_848595","7",7.089503,0.010525086775715
"7_912369","7",7.491004,0.0720875589840944
"7_3559874","7",8.351505,0.0636961321545186
"c7.loc10","7",10,0.10876667483376
"7_9942517","7",10.729006,0.147035191619125
"7_2287634","7",11.584007,0.362875297449818
"7_1223286","7",11.684008,0.380681197742661
"7_3021215","7",12.795509,0.328809985950329
"c7.loc20","7",20,0.423462315770394
"7_1013924","7",24.59051,0.511613614690759
"7_1406036","7",24.690011,0.511407768657136
"7_1482314","7",25.344512,0.513528025152482
"7_1722728","7",25.745513,0.484243723489044
"7_1796486","7",25.795514,0.577780519876114
"7_1882551","7",25.995515,0.566781447649873
"7_2131456","7",26.346016,0.511924713180861
"7_2435368","7",27.098517,0.293138802889871
"7_2590123","7",27.449018,0.41602630626835
"7_2667199","7",27.699019,0.488241531650601
"7_2771025","7",29.11202,0.524372697637318
"7_2950372","7",29.513521,0.59199031425419
"c7.loc30","7",30,0.572733184139679
"7_3401987","7",32.382022,0.555083617017772
"7_3625373","7",32.682023,0.730399742272539
"7_3716693","7",34.110024,1.25033081763854
"7_3835738","7",34.460525,0.987007065564512
"7_3995914","7",34.660526,1.15861181674973
"7_4112731","7",35.011027,0.958581690821347
"7_4254728","7",35.412528,1.08426790567592
"7_4373927","7",36.067529,1.29636314684512
"c7.loc40","7",40,0.822106365313857
"7_4663485","7",42.11703,0.57630655168964
"7_5300863","7",43.656031,0.733456441284034
"7_5435880","7",44.057032,1.02603449419234
"7_6389989","7",45.333033,1.08574187316776
"7_6944947","7",46.452034,1.35487630856255
"7_7162026","7",46.955035,1.17577053989226
"7_7588721","7",48.426536,1.34168027285841
"7_7447102","7",48.526537,1.34269367092315
"7_7699857","7",48.676038,1.27895853330415
"c7.loc50","7",50,1.29467218458467
"7_7829034","7",50.722039,1.31159951338395
"7_8155951","7",51.02254,1.50301326866997
"7_7990376","7",51.072541,1.42324640506286
"7_8094847","7",51.122042,1.2628893132819
"7_8252505","7",51.272043,1.19414224015713
"7_8561570","7",52.947044,1.13394682221042
"7_8804798","7",54.898545,1.12643634711753
"7_10066816","7",55.452046,1.24493541922016
"7_10498469","7",55.551547,1.30982475963742
"7_11956846","7",57.015548,1.2382921023077
"c7.loc60","7",60,1.73231728362884
"7_13861474","7",60.965549,1.87302534100309
"7_12452417","7",60.96555,1.87302534101832
"7_8330361","7",61.417051,1.99936134564473
"7_15374402","7",63.709552,2.02851081520089
"7_15243832","7",63.909053,2.03453563139715
"7_17042396","7",69.781054,1.76524706243799
"c7.loc70","7",70,1.80894123340795
"7_17219131","7",71.259055,2.01809548527672
"7_17378899","7",71.459056,2.06856040139382
"7_17723002","7",71.459057,2.06856040140133
"7_17308092","7",72.892058,2.01292309379073
"7_18437688","7",73.242559,2.09767782852691
"7_18097382","7",73.79606,2.23364139860018
"7_18268268","7",73.846061,2.233640356362
"7_18701068","7",74.096062,2.02479203733401
"7_18762637","7",74.195563,1.94275319327153
"7_18835505","7",74.345064,1.94285119767915
"7_18952564","7",75.050565,1.81138949696901
"7_19355564","7",75.553066,1.74747371621834
"7_19299297","7",75.852567,1.69062807798082
"7_20279884","7",78.312568,1.77921171721346
"c7.loc80","7",80,1.83221505716529
"7_20103260","7",86.815069,1.80154150949943
"7_19985774","7",86.96457,1.86868834694201
"7_21128945","7",88.292571,1.81547088159368
"c7.loc90","7",90,1.75542104740043
"7_22101289","7",91.246572,1.72014770545502
"7_22046989","7",91.546573,1.62035677847462
"7_22250380","7",92.704074,1.9314491456405
"7_22781295","7",94.891575,2.19177164323446
"7_23068209","7",96.202576,1.70981514789378
"7_23233299","7",97.309577,1.64594308552864
"7_23438032","7",97.961078,1.85275962449214
"7_23660749","7",99.480079,1.70737612252265
"7_23962575","7",99.63008,1.60642625493279
"7_23769058","7",99.929581,1.36198323940425
"c7.loc100","7",100,1.33821137818609
"7_24059511","7",100.029582,1.32789569663919
"7_23844050","7",101.148583,1.41718058823153
"7_24508748","7",101.298084,1.64061604394351
"7_24586966","7",101.800085,1.48111458801122
"7_24879814","7",103.779586,1.2655904177816
"7_24967097","7",103.929587,1.30822128605928
"7_25056911","7",104.028588,1.44003778685033
"7_25141862","7",105.612089,1.10970756616348
"7_25669872","7",105.71159,1.15312969496722
"7_25262311","7",105.961591,1.27718406327153
"7_25909284","7",107.185092,1.33048325301797
"7_26088532","7",108.916093,0.969316288646496
"7_26249020","7",109.871094,1.0791622465515
"c7.loc110","7",110,1.03656874399599
"7_26363715","7",110.020595,1.02984795170596
"7_26515058","7",111.437596,1.30468910043896
"7_26680230","7",111.637597,1.37585973212049
"7_26792208","7",111.886598,1.45384361185597
"7_27013763","7",112.541099,1.34389546131433
"7_27341252","7",112.5906,1.33984035204344
"8_12529769","8",0,1.2077574590071
"8_4918103","8",1.223501,0.95077388203822
"8_9924400","8",1.523502,0.655805362836873
"8_1155960","8",1.723503,0.213624561664574
"8_1005872","8",1.972504,0.282219666674337
"8_30944","8",2.573505,0.288060880894591
"8_474142","8",2.923006,0.265556017852532
"8_301480","8",3.072507,0.265555808440922
"8_1222997","8",3.877508,0.28474424467845
"8_2017540","8",3.977009,0.324959541951557
"8_2666965","8",5.03501,0.403792464821436
"8_2197734","8",5.084511,0.429107851538447
"8_2250586","8",5.234512,0.429110745845264
"8_2564886","8",5.936513,0.445738094006401
"8_2443239","8",6.086514,0.473819327885167
"8_2784591","8",6.286015,0.45252395127045
"8_3176495","8",6.685516,0.465131238865524
"8_3320879","8",6.935517,0.465121188788316
"8_4108038","8",7.285018,0.273198262663755
"8_4214869","8",7.584519,0.286744661405692
"8_4661848","8",9.93402,0.31601601767602
"c8.loc10","8",10,0.313174407293673
"8_5062235","8",12.176021,0.226743561197736
"8_5630677","8",15.142022,0.282787804401778
"8_7224682","8",19.966023,0.247729387712297
"c8.loc20","8",20,0.25023306022922
"8_7371285","8",20.266524,0.2693385645955
"8_7542838","8",23.405525,0.269345645896692
"8_7443260","8",25.131526,0.263684051270275
"8_7812019","8",25.583027,0.284832563872214
"8_7898256","8",26.859028,0.284636009823316
"8_8227840","8",27.866029,0.291099169565086
"8_8086885","8",28.98503,0.362063175169396
"8_9037920","8",29.589531,0.420952160442766
"c8.loc30","8",30,0.379646125272984
